LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
Rua Lord Cockrane - de 301/302 a 799/800,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04213-001
Travessa Mansueto de Gregório,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04203-010
Rua Marcondes de Andrade,Vila São José (Ipiranga),"São Paulo, SP","Vila São José (Ipiranga), São Paulo, SP",04265-040
Rua Matias de Albuquerque,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04210-030
Rua Mil Oitocentos e Vinte e Dois - até 679/680,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04216-000
Rua Mil Oitocentos e Vinte e Dois 76,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04216-900
Rua Mil Oitocentos e Vinte e Dois 347,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04216-901
Rua Mil Oitocentos e Vinte e Dois - de 681/682 ao fim,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04216-001
Rua Ministro Coriolano de Almeida Júnior,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04275-030
Passagem Miracatu,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04278-030
Rua Miracatu,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04278-020
Praça Monsenhor Jerônimo Galo,Vila São José (Ipiranga),"São Paulo, SP","Vila São José (Ipiranga), São Paulo, SP",04265-070
Travessa Monsenhor João Pheeney Camargo e Silva,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04216-002
Rua Mont'Alverne,Vila São José (Ipiranga),"São Paulo, SP","Vila São José (Ipiranga), São Paulo, SP",04265-060
Rua Moreira de Godói,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04266-060
Rua Moreira e Costa,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04266-010
Rua Munir Curi Meserani,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04209-010
Praça Mário Martins Verdade,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04205-055
Praça Nami Jafet,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04205-050
Praça Nami Jafet 235/259,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04205-913
Praça Nami Jafet 235,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04205-914
Avenida Nazaré - até 530 - lado par,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04262-000
Avenida Nazaré - até 803 - lado ímpar,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04263-000
Avenida Nazaré - de 532 a 1064 - lado par,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04262-100
Avenida Nazaré - de 805 a 1351 - lado ímpar,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04263-100
Avenida Nazaré - de 1066 a 1690 - lado par,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04262-200
Avenida Nazaré - de 1353 ao fim - lado ímpar,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04263-200
Avenida Nazaré - de 1692 ao fim - lado par,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04262-300
Jardim Nilza,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04205-020
Rua Nova Hamburgo,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04217-040
Rua Oliveira Alves - até 429/430,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04210-060
Rua Oliveira Alves 178,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04210-900
Rua Oliveira Alves 608,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04210-901
Rua Oliveira Alves - de 431/432 ao fim,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04210-061
Rua Oliveira Melo - até 739/740,Vila São José (Ipiranga),"São Paulo, SP","Vila São José (Ipiranga), São Paulo, SP",04271-000
Rua Oliveira Melo - de 741/742 ao fim,Vila São José (Ipiranga),"São Paulo, SP","Vila São José (Ipiranga), São Paulo, SP",04271-001
Rua Orizona,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04201-030
Rua Padre Marchetti,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04266-000
Travessa Padre Pietro Alfonso Zamberlan,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04268-030
Rua Padre Serrão,Vila São José (Ipiranga),"São Paulo, SP","Vila São José (Ipiranga), São Paulo, SP",04265-050
Rua Palmares,Ipiranga,"São Paulo, SP","Ipiranga, São Paulo, SP",04210-040
Rua Adolfo Tabacow,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-040
Travessa Alex Vallauri,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04533-020
Rua Anacetuba,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-040
Rua André Gonçalves,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-010
Rua Antônio Felício,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-060
Rua Antônio Felício 84,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-903
Rua Antônio Knittel,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-130
Rua Aracari,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-020
Rua Aspásia,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-100
Rua Bandeira Paulista - até 339 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-010
Rua Bandeira Paulista 766,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-914
Rua Bandeira Paulista 780,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-915
Rua Bandeira Paulista 142,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-905
Rua Bandeira Paulista 104,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-904
Rua Bandeira Paulista 716,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-911
Rua Bandeira Paulista 87,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-902
Rua Bandeira Paulista 272,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-908
Rua Bandeira Paulista 292,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-909
Rua Bandeira Paulista 65,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-901
Rua Bandeira Paulista 170,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-907
Rua Bandeira Paulista 727,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-912
Rua Bandeira Paulista 747,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-913
Rua Bandeira Paulista 147,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-906
Rua Bandeira Paulista 97,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-903
Rua Bandeira Paulista 510,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-910
Rua Bandeira Paulista 49,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-900
Rua Bandeira Paulista - até 420 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-000
Rua Bandeira Paulista - de 341 a 659 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-011
Rua Bandeira Paulista - de 422 a 600 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-001
Rua Bandeira Paulista - de 602 a 900 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-002
Rua Bandeira Paulista - de 661 a 829 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-012
Rua Bandeira Paulista - de 831 ao fim - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-013
Rua Bandeira Paulista - de 902 a 1050 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-003
Rua Bandeira Paulista - de 1052 ao fim - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-004
Rua Belchior Soares,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-100
Rua Benedito Lapin,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-040
Rua Brasília,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-040
Rua Brasília 85,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-900
Avenida Brigadeiro Faria Lima - de 3252 ao fim - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-132
Avenida Brigadeiro Faria Lima 3729,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-905
Avenida Brigadeiro Faria Lima 3600 8º andar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-906
Avenida Brigadeiro Faria Lima - de 3253 ao fim - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-133
Rua Callimaque,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-070
Rua Camargo Cabral,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-090
Rua Capitão Guedes Portilho,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-030
Rua Carla,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-070
Avenida Cidade Jardim - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-000
Avenida Cidade Jardim 280,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01454-900
Avenida Cidade Jardim 427,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-901
Avenida Cidade Jardim 377,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-900
Rua Cojuba,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04533-040
Rua Cônego Roque Viggiano,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-030
Praça Dom Gastão Liberal Pinto,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-060
Rua Doutor Assis Cintra,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-030
Travessa Doutor Carlos Alberto Gouvêa Kfouri,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-120
Rua Doutor Chafik Juvenal Chede,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-040
Rua Doutor Guilherme Bannitz,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-060
Rua Doutor José Gonçalves de Oliveira,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-050
Rua Doutor João Clímaco Pereira,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-070
Rua Doutor Renato Paes de Barros - até 629/630,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-000
Rua Doutor Renato Paes de Barros 319,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-908
Rua Doutor Renato Paes de Barros 322,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-907
Rua Doutor Renato Paes de Barros 296,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-906
Rua Doutor Renato Paes de Barros 329,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-909
Rua Doutor Renato Paes de Barros 33,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-904
Rua Doutor Renato Paes de Barros 295,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-905
Rua Doutor Renato Paes de Barros - de 631/632 ao fim,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-001
Ponte Engenheiro Roberto Rossi Zuccolo,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-130
Rua Galeno de Revoredo,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-030
Travessa Gâmbia,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04563-070
Praça Haia de La Torre,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-035
Avenida Horácio Lafer - até 209/210,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-080
Avenida Horácio Lafer 555,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-900
Avenida Horácio Lafer 815,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-901
Avenida Horácio Lafer - de 211/212 a 409/410,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-081
Avenida Horácio Lafer - de 411/412 a 599/600,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-082
Avenida Horácio Lafer - de 601/602 ao fim,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-083
Rua Iaiá,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-060
Rua Iaiá 169,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-908
Rua Iaiá 126,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-906
Rua Iaiá 112,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-905
Rua Iaiá 150,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-907
Rua Iara,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-030
Rua Ibiaté,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-040
Rua Igarapava,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-100
Rua Iguatemi - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01451-011
Rua Iguatemi - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01451-010
Rua Indaiatuba,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-110
Rua Itacema - até 281/282,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-050
Rua Itacema 381,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-902
Rua Itacema 129,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-900
Rua Itacema 292,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-901
Rua Itacema - de 283/284 ao fim,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-051
Rua Jacurici,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-030
Rua Jacurici 70,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-903
Rua Jacurici 129,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-904
Rua Jacurici 155,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-905
Rua Jacurici 166,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-906
Rua Japão,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-070
Rua Jesuíno Arruda - até 399/400,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-080
Rua Jesuíno Arruda 51,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-923
Rua Jesuíno Arruda 756,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-922
Rua Jesuíno Arruda 294,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-920
Rua Jesuíno Arruda 187,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-918
Rua Jesuíno Arruda 574,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-921
Rua Jesuíno Arruda 254,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-919
Rua Jesuíno Arruda 134,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-917
Rua Jesuíno Arruda - de 401/402 a 599/600,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-081
Rua Jesuíno Arruda - de 601/602 ao fim,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-082
Rua Joaquim Floriano - até 110 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-000
Rua Joaquim Floriano - até 359 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-010
Rua Joaquim Floriano - de 112 a 370 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-001
Rua Joaquim Floriano - de 361 a 569 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-011
Rua Joaquim Floriano - de 372 a 690 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-002
Rua Joaquim Floriano - de 571 a 779 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-012
Rua Joaquim Floriano 397,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-901
Rua Joaquim Floriano 503,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-903
Rua Joaquim Floriano 733,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-904
Rua Joaquim Floriano 488,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-902
Rua Joaquim Floriano - de 692 a 900 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-003
Rua Joaquim Floriano - de 781 a 999 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-013
Rua Joaquim Floriano - de 902 ao fim - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-004
Rua Joaquim Floriano - de 1001 ao fim - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-014
Rua Jusseapé,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-110
Rua Leopoldo Couto de Magalhães Júnior - até 555 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-010
Rua Leopoldo Couto de Magalhães Júnior 610,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-902
Rua Leopoldo Couto de Magalhães Júnior 493,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-901
Rua Leopoldo Couto de Magalhães Júnior - até 996 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-000
Rua Leopoldo Couto de Magalhães Júnior - de 557 a 1001 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-011
Rua Leopoldo Couto de Magalhães Júnior - de 998 ao fim - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-001
Rua Leopoldo Couto de Magalhães Júnior - de 1003 ao fim - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-012
Rua Lopes Neto,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04533-030
Praça Luís Carlos Paraná,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-100
Rua Luís Dias,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-080
Rua Luísa Júlia,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-020
Rua Luísa Júlia 47,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-900
Travessa Lúcia Albertina Soares Quadros,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-120
Rua Maria Adelaide Freire Trindade,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-060
Rua Maria Rosa Halter Frank,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04532-090
Rua Maria Rosa,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-080
Rua Mariano Amorim Carrão,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-070
Rua Napoleão Michel,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04533-060
Praça Nicolau David,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",01453-120
Rua Nigéria,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04538-020
Rua Oscar Pereira da Silva,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-020
Rua Oswaldo Imperatrice,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04542-120
Rua Pais de Araújo,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-090
Rua Pais de Araújo 90,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-943
Rua Pais de Araújo 89,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-942
Rua Pais de Araújo 59,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-941
Rua Pais de Araújo 29,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-940
Rua Paula Oliveira,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04530-020
Rua Pedroso Alvarenga - até 429 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-010
Rua Pedroso Alvarenga 85,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-922
Rua Pedroso Alvarenga - até 530 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-000
Rua Pedroso Alvarenga - de 431 a 1029 - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-011
Rua Pedroso Alvarenga 1255,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-935
Rua Pedroso Alvarenga 1004,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-910
Rua Pedroso Alvarenga 263,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-926
Rua Pedroso Alvarenga 321,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-944
Rua Pedroso Alvarenga 1284,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-913
Rua Pedroso Alvarenga 345,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-928
Rua Pedroso Alvarenga 1254,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-912
Rua Pedroso Alvarenga 220,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-904
Rua Pedroso Alvarenga 1245,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-934
Rua Pedroso Alvarenga 260,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-905
Rua Pedroso Alvarenga 104,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-901
Rua Pedroso Alvarenga 101,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-923
Rua Pedroso Alvarenga 313,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-927
Rua Pedroso Alvarenga 401,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-929
Rua Pedroso Alvarenga 450,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-908
Rua Pedroso Alvarenga 328,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-906
Rua Pedroso Alvarenga 372,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-907
Rua Pedroso Alvarenga 505,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-930
Rua Pedroso Alvarenga 86,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-900
Rua Pedroso Alvarenga 599,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-931
Rua Pedroso Alvarenga 631,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-932
Rua Pedroso Alvarenga 217,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-925
Rua Pedroso Alvarenga 157,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-924
Rua Pedroso Alvarenga 810,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-909
Rua Pedroso Alvarenga 186,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-903
Rua Pedroso Alvarenga 1208,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-911
Rua Pedroso Alvarenga 725,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-933
Rua Pedroso Alvarenga 162,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-902
Rua Pedroso Alvarenga - de 532 a 700 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-001
Rua Pedroso Alvarenga - de 702 a 870 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-002
Rua Pedroso Alvarenga - de 872 a 960 - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-003
Rua Pedroso Alvarenga - de 962 ao fim - lado par,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-004
Rua Pedroso Alvarenga - de 1031 ao fim - lado ímpar,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-012
Praça Dom Gastão Liberal Pinto 56,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04534-970
Rua Professor Carlos de Carvalho,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-080
Rua Professor Carlos de Carvalho 164,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-939
Rua Professor Carlos de Carvalho 114,Itaim Bibi,"São Paulo, SP","Itaim Bibi, São Paulo, SP",04531-938
